risk_source,customer_set,beta,lambda_concentration,runs,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,common_max_vehicle_risk_mean,common_max_vehicle_risk_std,common_max_vehicle_cvar90_mean,common_max_vehicle_cvar90_std,common_vehicle_risk_gini_mean,common_vehicle_risk_gini_std,common_edge_burden_gini_used_mean,common_edge_burden_gini_used_std,common_top10_burden_share_mean,common_top10_burden_share_std,common_max_edge_burden_mean,common_max_edge_burden_std
A_Stable-Tail-eta0.7_seed0,A,2.0,0.0,10,2.4933778113952054,0.16990768026398761,0.046144934927260885,0.006265974325271481,0.8071671872348304,0.06975741925241943,0.09641992864543891,0.01718479716939752,0.23568163173958698,0.05361329779276654,0.6943346865122912,0.021067565876161563,0.6764028102406032,0.026032448580698777,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed1,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.7_seed1,A,1.0,0.0,10,3.2875781194870646,0.17165910269587187,0.08678651607883817,0.010315015678797375,1.030900633300044,0.20843708391404292,0.1365848421322191,0.01696819871072929,0.20462094627328478,0.09720804568017957,0.7597599898078918,0.008555746304289997,0.7622734539054502,0.011967067565956904,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed1,A,2.0,0.0,10,2.6817905225104965,0.17027087555525033,0.051023678397681335,0.005230866479005647,0.9019943572175263,0.09732041368885384,0.08684198856133564,0.013668802705271895,0.2665934669736137,0.05735037382512225,0.7193172518562921,0.016732445394463467,0.7082148673549821,0.01895706326771974,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed2,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.7_seed2,A,1.0,0.0,10,3.163324615205313,0.1357533788552188,0.08264450766240723,0.004062289554071712,1.1547776407770913,0.15467587224683566,0.13869405463103537,0.01915964446137367,0.2794569323939222,0.07336326090845628,0.7510552393434204,0.0072160592381897305,0.7511525704654313,0.010894804674737687,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed2,A,2.0,0.0,10,2.7110405688380657,0.2779672140643593,0.05663257563403377,0.01624346403003303,0.818815080236376,0.07005643263932082,0.09442420913606125,0.011527379030509642,0.24866393201761436,0.05779577220148,0.7139836833811029,0.026067822983180524,0.7015915120815387,0.03262090401619223,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed3,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.7_seed3,A,1.0,0.0,10,3.2410705270816313,0.16079976828023557,0.0806968079225746,0.011256334228035444,1.0417466260784436,0.17606883158975872,0.12910715710290174,0.019983036226872784,0.25132437980961875,0.07581610048464729,0.752047961514824,0.008351443968074496,0.7543592058060753,0.011049753501642008,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed3,A,2.0,0.0,10,2.76745943356109,0.13500194527239082,0.056045891797972626,0.008390757447101355,0.8825193054994861,0.1149035692104395,0.11890712784166586,0.05789260436520073,0.18795484299126014,0.05592230593637748,0.7205335069874496,0.01432575657951909,0.7120632363459094,0.016720258366925124,0.5313090438090153,0.0
A_Stable-Tail-eta0.7_seed4,A,0.0,0.0,10,7.959816901084075,0.7658979944201808,0.23567049580945842,0.05127880147298579,2.428080332212452,0.48264264768863535,0.41230505239088855,0.11131733715375688,0.16179987701502715,0.061296232864304204,0.8524898232201188,0.00983743893682244,0.8837653227641111,0.01080064670692477,1.183652349085785,0.4310658753796155
A_Stable-Tail-eta0.7_seed4,A,1.0,0.0,10,3.1895728579256852,0.1973803000293772,0.07931539144232538,0.011778637508328912,1.2264915258605746,0.15665409094383387,0.14982090401869125,0.017349477061084112,0.30114727620052745,0.07668059901628554,0.7537330834899926,0.011141670193537371,0.7529038083385579,0.014902509809972505,0.5313090438090153,0.0
