group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct,risk_source,risk_dir,model,model_seed
normal_high,1134,4589,CVaR-risk,1134 4302 3255 1189 1188 4991 1195 3477 4789 3721 4540 4058 3697 5084 4589,14,0.002944086948575984,0.008378436788916588,0.006764129968360066,0.008378436788916588,0.008378436788916588,0.0008491312951913901,0.12677644855020792,0.43195821428536973,0.04121721728006378,0.16666666666665278,0.9520883655738865,0.977704152422607,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,1314,3284,Hop-shortest,1314 3777 3934 3658 1373 3284,5,0.005538964574225247,0.008471979759633541,0.008471979759633541,0.008471979759633541,0.008471979759633541,0.002179441787302494,0.24485831715579037,0.2541573837691926,0.027694822871126235,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,1314,3284,CVaR-risk,1314 4170 833 3804 3934 3658 1373 3284,7,0.001796874450519681,0.004560965579003096,0.004560965579003096,0.004560965579003096,0.004560965579003096,0.0002196557553751128,0.28533852931553333,0.5033280180288928,0.012578121153637767,0.39999999999992,0.5458313197122067,0.46164111472546493,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,3048,2302,Hop-shortest,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.0031618017488249783,0.006761740427464247,0.006761740427464247,0.006761740427464247,0.006761740427464247,0.0006599044427275658,0.16214139817167936,0.3557342292918204,0.028456215739424806,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,3048,2302,CVaR-risk,3048 4808 4090 4081 3926 4036 3513 4830 3584 2302,9,0.0031618017488249783,0.006761740427464247,0.006761740427464247,0.006761740427464247,0.006761740427464247,0.0006599044427275658,0.16214139817167936,0.3557342292918204,0.028456215739424806,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,948,569,Hop-shortest,948 4159 3471 4912 4913 4071 569,6,0.053704092531309776,0.309939980506897,0.1569393256213516,0.309939980506897,0.309939980506897,0.051049051728720464,0.9255408540144997,0.8022050295234029,0.32222455518785864,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,948,569,CVaR-risk,948 4159 3471 4912 2803 4025 4071 569,7,0.002905077251073505,0.003938670735806227,0.0037491911401351294,0.003938670735806227,0.003938670735806227,2.092861437371799e-05,0.1587246550582304,0.1767049840997681,0.020335540757514536,0.16666666666663887,0.9368901580247487,0.9872921501435474,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,1937,2418,Hop-shortest,1937 4530 5169 3816 4338 4330 4336 3934 3804 2418,9,0.003824751914685799,0.018773257732391357,0.008966191050906977,0.018773257732391357,0.018773257732391357,0.0017246735385722583,0.3363901352845047,0.5910219121652556,0.03442276723217219,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,1937,2418,CVaR-risk,1937 4530 5170 3816 4338 4330 4336 3934 3804 2418,9,0.0017801396865656392,0.004062657710164785,0.004062657710164785,0.004062657710164785,0.004062657710164785,6.0108283327685465e-05,0.1803825347950122,0.42537153093196545,0.016021257179090753,0.0,0.5345738164637867,0.7835933555666967,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,90,3690,Hop-shortest,90 91 4850 3497 106 3802 2995 2996 2084 4128 3477 4141 4706 4568 1519 1520 4926 3690,17,0.02213967766147107,0.2590782940387726,0.08836199063807726,0.16834554448723793,0.2590782940387726,0.019977492581614676,0.5177791814180911,0.8498891974088745,0.37637452024500817,0.0,0.0,0.0,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
normal_high,90,3690,CVaR-risk,90 91 4850 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3526 3561 3865 4926 3690,17,0.0018286503374624504,0.005107661243528128,0.004034742712974548,0.005107661243528128,0.005107661243528128,0.00015476362451034433,0.09966718246713789,0.4510877467183685,0.031087055736861657,0.0,0.9174039312822176,0.9696596588875864,Stable-Tail-GNN_seed0,D:\PyVRP-main\hazmat_risk_experiments\outputs\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_floor_0p01,Stable-Tail GNN,0
