customer_set,model,beta,lambda_concentration,model_seed_runs,cost_increase_mean,cost_increase_std,cost_increase_mean_std,global_risk_mean,global_risk_std,global_risk_mean_std,risk_reduction_mean,risk_reduction_std,risk_reduction_mean_std,cvar90_mean,cvar90_std,cvar90_mean_std,max_vehicle_risk_mean,max_vehicle_risk_std,max_vehicle_risk_mean_std,edge_burden_gini_mean,edge_burden_gini_std,edge_burden_gini_mean_std,top10_share_mean,top10_share_std,top10_share_mean_std
A,Stable-Tail-EdgeTailRaw-a005,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.456756271317317,0.8122076847203378,8.456756 +/- 0.812208,0.0,0.0,0.000% +/- 0.000%,0.26996543193704664,0.03331775132096188,0.269965 +/- 0.033318,2.4903717998704815,0.2176021065627351,2.490372 +/- 0.217602,0.8732025011790054,0.005740113227703427,0.873203 +/- 0.005740,0.8935675721243314,0.007186440981263613,89.357% +/- 0.719%
A,Stable-Tail-EdgeTailRaw-a005,0.25,0.0,10,0.06308525913211935,0.004222937025272682,6.309% +/- 0.422%,5.570390003468074,0.64680321400747,5.570390 +/- 0.646803,0.3414772741687864,0.03736426349189457,34.148% +/- 3.736%,0.1632661418202,0.023690348863441606,0.163266 +/- 0.023690,1.7981919492928864,0.21977266865448963,1.798192 +/- 0.219773,0.8598838798630466,0.0073211632843483655,0.859884 +/- 0.007321,0.8701289193741315,0.009050812848989271,87.013% +/- 0.905%
A,Stable-Tail-EdgeTailRaw-a005,0.5,0.0,10,0.10860198129762383,0.0068350534069316375,10.860% +/- 0.684%,4.2214114419357065,0.5205143053348924,4.221411 +/- 0.520514,0.5013377906048531,0.030376622106618935,50.134% +/- 3.038%,0.1203283445158625,0.01633522149417118,0.120328 +/- 0.016335,1.5208287542008292,0.22126220951457828,1.520829 +/- 0.221262,0.8342449626595655,0.011375701481899226,0.834245 +/- 0.011376,0.8313712820626028,0.014680206641723769,83.137% +/- 1.468%
A,Stable-Tail-EdgeTailRaw-a005,1.0,0.0,10,0.17379231121338587,0.011707590302947539,17.379% +/- 1.171%,3.00211601551473,0.458393833601532,3.002116 +/- 0.458394,0.6462941579833767,0.02770578236816706,64.629% +/- 2.771%,0.07680729508832493,0.014962341144256049,0.076807 +/- 0.014962,1.0558421295159315,0.22432905055572663,1.055842 +/- 0.224329,0.7910114932537131,0.01807967251314641,0.791011 +/- 0.018080,0.7679432876800105,0.023083817844208886,76.794% +/- 2.308%
A,Stable-Tail-EdgeTailRaw-a005,2.0,0.0,10,0.2732970120752433,0.020084665591481924,27.330% +/- 2.008%,2.3468335618360654,0.3575264406645617,2.346834 +/- 0.357526,0.7228322604614146,0.029441000743666436,72.283% +/- 2.944%,0.05163326515622328,0.010735039062289658,0.051633 +/- 0.010735,0.8036325001363912,0.2068383161580631,0.803633 +/- 0.206838,0.7518218088955302,0.025970314973342287,0.751822 +/- 0.025970,0.7088734879266059,0.034640675031002925,70.887% +/- 3.464%
A,Stable-Tail-EdgeTailRaw-a010,0.0,0.0,10,0.0,0.0,0.000% +/- 0.000%,8.33438937603556,0.828845691923567,8.334389 +/- 0.828846,0.0,0.0,0.000% +/- 0.000%,0.2641562204638059,0.03436586553303033,0.264156 +/- 0.034366,2.499181468605639,0.20611280526269626,2.499181 +/- 0.206113,0.8745326648147201,0.004829606367784382,0.874533 +/- 0.004830,0.8945234743827711,0.0061003550653393095,89.452% +/- 0.610%
A,Stable-Tail-EdgeTailRaw-a010,0.25,0.0,10,0.06312398903504204,0.004454660385266828,6.312% +/- 0.445%,5.77154031765238,0.7853331888665961,5.771540 +/- 0.785333,0.3077548722050076,0.0595835073680205,30.775% +/- 5.958%,0.16945823409494495,0.028268790725761942,0.169458 +/- 0.028269,1.85072002101213,0.2538362040484174,1.850720 +/- 0.253836,0.8618598144694719,0.007215881163058229,0.861860 +/- 0.007216,0.8730962631004495,0.010416519696614236,87.310% +/- 1.042%
A,Stable-Tail-EdgeTailRaw-a010,0.5,0.0,10,0.10800170409917313,0.00733748909734496,10.800% +/- 0.734%,4.360263527979059,0.5966609759195982,4.360264 +/- 0.596661,0.47770182463508065,0.036745808136360414,47.770% +/- 3.675%,0.12436025065729676,0.019711802485184234,0.124360 +/- 0.019712,1.6398500376928495,0.19462662806265776,1.639850 +/- 0.194627,0.83824626472257,0.01184891583686863,0.838246 +/- 0.011849,0.8376030612788519,0.01497374733461457,83.760% +/- 1.497%
A,Stable-Tail-EdgeTailRaw-a010,1.0,0.0,10,0.1724397601537997,0.012259212178811155,17.244% +/- 1.226%,2.953012464490948,0.4349808549152483,2.953012 +/- 0.434981,0.6461762244142369,0.03263334076669114,64.618% +/- 3.263%,0.07481775326557467,0.012902217040082112,0.074818 +/- 0.012902,1.0312307258120563,0.18052644490399875,1.031231 +/- 0.180526,0.7889637751197933,0.017623013482455083,0.788964 +/- 0.017623,0.7651481581269549,0.02237248381387738,76.515% +/- 2.237%
A,Stable-Tail-EdgeTailRaw-a010,2.0,0.0,10,0.27087653290777197,0.021843987662880142,27.088% +/- 2.184%,2.3914197305466223,0.37823964780125724,2.391420 +/- 0.378240,0.7136851152482973,0.028791411105081235,71.369% +/- 2.879%,0.052262353128033026,0.01009281012031652,0.052262 +/- 0.010093,0.8170739007729572,0.19874291812670047,0.817074 +/- 0.198743,0.7545259993066057,0.025267797317857284,0.754526 +/- 0.025268,0.7123301990976086,0.03420471588507015,71.233% +/- 3.420%
