method,customer_set,budget,value_mean,value_std,cost_increase_mean,model_seeds,metric
TEG-low,B,0.25,4.076951928324981,0.20329147961596095,0.2141640860755576,10,CommonRisk
TEG-low,B,0.255,4.076951928324981,0.20329147961596095,0.2141640860755576,10,CommonRisk
TEG-low,B,0.26,4.031900603995938,0.19344035989351024,0.21852572321666938,10,CommonRisk
TEG-low,B,0.265,3.973820321493222,0.22483555349750173,0.22402473230899886,10,CommonRisk
TEG-low,B,0.27,3.910341238589536,0.2513956951354361,0.23160027848386516,10,CommonRisk
TEG-low,B,0.275,3.812008362171288,0.30970644979152306,0.24460745936298461,10,CommonRisk
TEG-low,B,0.28,3.7686705477375875,0.33568464757013267,0.2484398784889076,10,CommonRisk
TEG-low,B,0.285,3.7445117436134807,0.3603966179800851,0.250262699193159,10,CommonRisk
TEG-low,B,0.29,3.663751862460665,0.29714468117403803,0.2558533851560735,10,CommonRisk
TEG-low,B,0.295,3.638253090203378,0.27510103983399714,0.2580428775445784,10,CommonRisk
TEG-low,B,0.3,3.607713832202704,0.2676814080244538,0.26087864299442515,10,CommonRisk
TEG-low,B,0.305,3.568872642541882,0.2093992638759897,0.26585839627449825,10,CommonRisk
TEG-low,B,0.31,3.5393473267977766,0.1905208049549339,0.2703214153895456,10,CommonRisk
TEG-low,B,0.315,3.4865393346634432,0.13845401873610994,0.27617509006294344,10,CommonRisk
TEG-low,B,0.32,3.423208662146751,0.13714046991021941,0.28713766855487444,10,CommonRisk
TEG-low,B,0.325,3.3639628331763007,0.17080742568933927,0.29461697772901657,10,CommonRisk
TEG-low,B,0.33,3.3360541794714442,0.17613314843920683,0.3011848837106813,10,CommonRisk
TEG-low,B,0.335,3.3072542263774247,0.15927321718208626,0.3058882323185103,10,CommonRisk
TEG-low,B,0.34,3.284278223240791,0.15072068778378248,0.30992154690577683,10,CommonRisk
TEG-low,B,0.345,3.280960797977051,0.15046618325642414,0.31052805790927684,10,CommonRisk
TEG-low,B,0.35,3.2713849938322435,0.13971131830692968,0.31227637800701663,10,CommonRisk
TEG-low,B,0.355,3.2583204828646153,0.13497505083212244,0.3140747740582671,10,CommonRisk
TEG-low,B,0.36,3.2534931291474978,0.12838043996031476,0.3146016245464578,10,CommonRisk
TEG-low,B,0.365,3.2369194077119623,0.12798843874583898,0.3183265033929575,10,CommonRisk
TEG-low,B,0.37,3.2272267317607777,0.12301182453148701,0.31959331728207013,10,CommonRisk
TEG-low,B,0.375,3.218854103173535,0.11515863823822822,0.32157112220978346,10,CommonRisk
TEG-low,B,0.38,3.214072471923928,0.1132356448877495,0.32281123566639175,10,CommonRisk
TEG-low,B,0.385,3.206705123403263,0.11419573497480114,0.3240938471911282,10,CommonRisk
TEG-low,B,0.39,3.205194403241945,0.11497636112440976,0.3247954273389374,10,CommonRisk
TEG-low,B,0.395,3.205194403241945,0.11497636112440976,0.3247954273389374,10,CommonRisk
TEG-low,B,0.4,3.2033904014532704,0.11720165500778061,0.3255694720005814,10,CommonRisk
GCN,A,0.1,0.22536744437092188,0.0,7.462853645977148e-07,10,CVaR90
GCN,A,0.105,0.22536744437092188,0.0,7.462853645977148e-07,10,CVaR90
GCN,A,0.11,0.19200392195315494,0.04124048788383429,0.03768816149925991,10,CVaR90
GCN,A,0.115,0.1772815333663545,0.050862788121738965,0.05441273161141348,10,CVaR90
GCN,A,0.12,0.15942128348670973,0.04580158104543087,0.07558893858325258,10,CVaR90
GCN,A,0.125,0.14111861715305915,0.030837746761502895,0.10113734846595197,10,CVaR90
GCN,A,0.13,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.135,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.14,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.145,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.15,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.155,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.16,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.165,0.1294449558445549,0.004705182602510789,0.11502445903655947,10,CVaR90
GCN,A,0.17,0.12348055572558152,0.009360925911940076,0.12347686026675202,10,CVaR90
GCN,A,0.175,0.10650195159193968,0.024822068137402408,0.14326759519818594,10,CVaR90
GCN,A,0.18,0.10390556582059325,0.02768978404803552,0.1465848235660353,10,CVaR90
