model,split,seed,epochs,experiment_tag,alpha_ord,alpha_hr,alpha_topk,topk_frac,stage1_epochs,eval_split,macro_f1,weighted_f1,mae,qwk,recall_6_8,precision_6_8,pr_auc_high,high_fn_rate
gcn_teg_concat,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.5706038946404057,0.788879153036175,0.5141165162269047,0.8379888571521661,0.88,0.9565217391304348,0.9708444315918002,0.12
gcn_teg_concat,B,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.3212459725759173,0.6258074152468153,1.1070527859844492,0.303125611905228,0.2692307692307692,0.5384615384615384,0.41289605746879016,0.7307692307692307
gcn_teg_concat,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.4277356694919624,0.7116033578631135,0.7175235134903393,0.7164574576578122,0.8,0.7441860465116279,0.8653026515755299,0.2
gcn_teg_concat,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.4648275551469446,0.7143303281822628,0.6218490000020297,0.7183985732931857,0.8,0.7407407407407407,0.8987831185966535,0.2
gcn_teg_concat,B,1,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.2840924851847182,0.614521304812567,1.2204950196068467,0.3234359645262225,0.2692307692307692,0.5,0.37658265304703964,0.7307692307692307
gcn_teg_concat,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.4013037867399375,0.7075436070169003,0.8287249592744905,0.6605868980114453,0.725,0.6444444444444445,0.7804405934883852,0.275
gcn_teg_concat,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.47227060258384246,0.7397311327764368,0.6545979117523792,0.713691020798632,0.8,0.7692307692307693,0.8888723557144611,0.2
gcn_teg_concat,B,2,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.29815072725311154,0.6494878483658287,1.1367576070855274,0.3644300658285886,0.34615384615384615,0.42857142857142855,0.39854729241197756,0.6538461538461539
gcn_teg_concat,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.5386773500855248,0.7429376665378237,0.6857380110293654,0.7200654859814771,0.725,0.8529411764705882,0.9183934943741592,0.275
gcn_teg_concat,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.6432613476910465,0.8016351002295937,0.4895116954835169,0.8307582452836046,0.88,0.88,0.9659101620299444,0.12
gcn_teg_concat,B,3,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.26381432774875396,0.6132938198511969,1.210168398855662,0.16181567157871013,0.038461538461538464,0.2,0.32277894827166076,0.9615384615384616
gcn_teg_concat,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.4443261454465125,0.7333884105432714,0.7303692746233014,0.7112038701116328,0.8,0.7272727272727273,0.8835753141620363,0.2
gcn_teg_concat,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_train,0.5174731085843256,0.770493465875132,0.6303654834440642,0.7454102855474818,0.8,0.8,0.9250818022706568,0.2
gcn_teg_concat,B,4,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2021_test,0.31579677239694215,0.6155844380236005,1.2170471480236795,0.3036142609527923,0.3076923076923077,0.47058823529411764,0.4352692508810207,0.6923076923076923
gcn_teg_residual_fixed,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_train,0.7688703015791716,0.8550826046125127,0.5291943841529029,0.8324029581160755,0.9354838709677419,0.9666666666666667,0.9764840804670082,0.06451612903225806
gcn_teg_residual_fixed,A,0,50,gcn_stabilized_lowtail_s0_4,0.3,0.5,0.1,0.2,0,data_2020_val,0.2655844155844156,0.6424860853432283,1.255465250126156,0.24905897114178166,0.2222222222222222,1.0,0.34813294104548803,0.7777777777777778
