risk_source,customer_set,budget,selector,runs,value_mean,value_std,selected_cost_increase_mean
A_Stable-Tail-eta0.5_seed1,A,0.25,common_risk,10,2.7353312543131705,0.1512467695486496,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,cvar90,10,0.052094528241659145,0.008005729697289885,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,cvar95,10,0.11436805069920195,0.026178332702463482,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,edge_gini,10,0.7243061233558621,0.013561156512367506,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,load_cvar90,10,0.0343959279623321,0.006041590065851706,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,load_risk,10,1.3610250187784434,0.17658744153327408,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.25,top10_share,10,0.7143615946721213,0.015546420140308582,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,common_risk,10,2.7353312543131705,0.1512467695486496,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,cvar90,10,0.052094528241659145,0.008005729697289885,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,cvar95,10,0.11436805069920195,0.026178332702463482,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,edge_gini,10,0.7243061233558621,0.013561156512367506,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,load_cvar90,10,0.0343959279623321,0.006041590065851706,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,load_risk,10,1.3610250187784434,0.17658744153327408,0.24006045035693338
A_Stable-Tail-eta0.5_seed1,A,0.3,top10_share,10,0.7143615946721213,0.015546420140308582,0.24006045035693338
A_Stable-Tail-eta0.5_seed2,A,0.25,common_risk,10,3.2821784562433804,0.3058998907200856,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,cvar90,10,0.08644725644404337,0.008882483729917687,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,cvar95,10,0.1583296374233647,0.02450003557174182,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,edge_gini,10,0.7561879853977735,0.011378750998359706,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,load_cvar90,10,0.051296498148935984,0.011146724075173088,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,load_risk,10,1.7932181877311213,0.32556029637252126,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.25,top10_share,10,0.7582221156224163,0.01782593649683196,0.1806705342397757
A_Stable-Tail-eta0.5_seed2,A,0.3,common_risk,10,2.865857087281908,0.18725546326209996,0.28848971554550096
A_Stable-Tail-eta0.5_seed2,A,0.3,cvar90,10,0.05739173165725375,0.01152456086907073,0.28848971554550096
A_Stable-Tail-eta0.5_seed2,A,0.3,cvar95,10,0.12812788748243545,0.013612090131667011,0.277797018639577
A_Stable-Tail-eta0.5_seed2,A,0.3,edge_gini,10,0.7292276732470204,0.016128560323681547,0.28848971554550096
A_Stable-Tail-eta0.5_seed2,A,0.3,load_cvar90,10,0.0372313735141508,0.007459399606417222,0.2671282026871001
A_Stable-Tail-eta0.5_seed2,A,0.3,load_risk,10,1.4109559993637584,0.2060191669937382,0.25637057943899194
A_Stable-Tail-eta0.5_seed2,A,0.3,top10_share,10,0.7207443520886777,0.019667563178090947,0.28848971554550096
A_Stable-Tail-eta0.5_seed3,A,0.25,common_risk,10,2.9448765937643664,0.2482097223563444,0.22490263776267896
A_Stable-Tail-eta0.5_seed3,A,0.25,cvar90,10,0.06421570032172161,0.01191581975494867,0.20754267716625213
A_Stable-Tail-eta0.5_seed3,A,0.25,cvar95,10,0.13052484605473483,0.02109783462366286,0.22579376367318313
A_Stable-Tail-eta0.5_seed3,A,0.25,edge_gini,10,0.7308681926220035,0.02142632650775183,0.2339923935034791
A_Stable-Tail-eta0.5_seed3,A,0.25,load_cvar90,10,0.03885013740488776,0.005313870722201287,0.22595048359974865
A_Stable-Tail-eta0.5_seed3,A,0.25,load_risk,10,1.4341230896521446,0.1474458167426862,0.19853440332420744
A_Stable-Tail-eta0.5_seed3,A,0.25,top10_share,10,0.7256743513330225,0.028301394095694436,0.2339923935034791
A_Stable-Tail-eta0.5_seed3,A,0.3,common_risk,10,2.9448765937643664,0.2482097223563444,0.22490263776267896
A_Stable-Tail-eta0.5_seed3,A,0.3,cvar90,10,0.06421570032172161,0.01191581975494867,0.20754267716625213
A_Stable-Tail-eta0.5_seed3,A,0.3,cvar95,10,0.13052484605473483,0.02109783462366286,0.22579376367318313
A_Stable-Tail-eta0.5_seed3,A,0.3,edge_gini,10,0.7308681926220035,0.02142632650775183,0.2339923935034791
A_Stable-Tail-eta0.5_seed3,A,0.3,load_cvar90,10,0.03885013740488776,0.005313870722201287,0.22595048359974865
A_Stable-Tail-eta0.5_seed3,A,0.3,load_risk,10,1.4341230896521446,0.1474458167426862,0.19853440332420744
A_Stable-Tail-eta0.5_seed3,A,0.3,top10_share,10,0.7256743513330225,0.028301394095694436,0.2339923935034791
A_Stable-Tail-eta0.5_seed4,A,0.25,common_risk,10,3.164076645719285,0.09094473929599768,0.19972536805182403
