risk_source,customer_set,beta,lambda_concentration,seed,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_max_vehicle_cvar90,common_vehicle_risk_gini,common_edge_burden_gini_used,common_top10_burden_share,common_max_edge_burden
ST-v1_seed1,A,1.5,1.0,8,2.471026514429961,0.05490829926952115,0.7647217238997251,0.08362755556008168,0.2513517613247209,0.6916906291488882,0.6733390384458567,0.5313090438090153
ST-v1_seed1,A,1.5,1.0,9,2.467885647296207,0.042985026204232696,0.7488397888292051,0.09418384999941198,0.2264326150970133,0.6831839277817124,0.6648444042894404,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,0,3.7889772856486945,0.08256944234658663,1.1523876380763738,0.10389654182218548,0.21570840735356178,0.7658142399317687,0.7615428754148604,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,1,3.2908386134793743,0.0767297965685004,1.055891483552508,0.1022344930789563,0.23925179224899207,0.7463576612226932,0.7388583709148594,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,2,3.5190821678398563,0.08166715375586481,1.1037391912294048,0.13115998260057604,0.2026089567700382,0.7657666788486124,0.7563321939513775,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,3,3.290838613479374,0.0767297965685004,1.055891483552508,0.1022344930789563,0.23925179224899207,0.7463576612226932,0.7388583709148594,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,4,3.5336688218412853,0.07980723360944766,1.1037391912294048,0.13115998260057604,0.18863794758397345,0.7620708891122703,0.7536555236421938,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,5,3.1562629417498034,0.07508898923556832,1.1215645170458999,0.13115998260057604,0.28489269652791305,0.7396817865806289,0.7263579130114565,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,6,2.989675266725086,0.05972474964514016,0.8052537204018664,0.07274351974853643,0.16136721861120407,0.7245494342482084,0.7077174995251226,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,7,3.396225483022673,0.08028091038991643,0.898691423899197,0.10062034891096149,0.17364884098336164,0.7511297376651971,0.7433697114310225,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,8,3.644295894864978,0.08570647395459056,1.161839349989294,0.10389654182218548,0.26504073276550777,0.7609665622563397,0.7554903948712142,0.5313090438090153
ST-v1_seed1,B,1.5,1.0,9,3.3625529180772027,0.07704055302902074,1.2684482283503973,0.1517434302449134,0.34505026948389994,0.7540330686947665,0.7427853928902066,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,0,2.434946524300969,0.04779026894516267,0.9314069521127468,0.09076702896280879,0.27615782515967324,0.6956082071536867,0.6744831080133751,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,1,2.450578826020456,0.0456031722813153,0.9314069521127468,0.09076702896280879,0.2759217490105743,0.6949645175483172,0.6738215121073069,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,2,2.2924438039190367,0.03746287306184317,0.9327180637968843,0.10422585180496435,0.3364938507606683,0.6706851869004122,0.649549490414569,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,3,2.4422937055222294,0.04779026894516266,0.9250618474568969,0.07429812896942899,0.27083055039087256,0.691595384672212,0.6732620890384713,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,4,2.474260676719485,0.04188510795277474,0.9314069521127468,0.09076702896280879,0.27579704158636686,0.69851360914495,0.6812213980109623,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,5,2.2919580010694744,0.03746287306184317,0.9327180637968843,0.10422585180496435,0.3367347417154558,0.6677525573069587,0.6463145694469632,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,6,2.4915460178904247,0.04135839285451438,0.9327180637968843,0.10422585180496435,0.2814218226354368,0.6913595767266625,0.6730629208929129,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,7,2.0601026061800485,0.03467101443423192,0.9314069521127472,0.09076702896280879,0.36138247573740423,0.6449428734969966,0.61405499742106,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,8,2.473553556230439,0.04188510795277474,0.9314069521127468,0.09076702896280879,0.27504859014870253,0.6952141951753006,0.6746060763647067,0.5313090438090153
ST-v1_seed2,A,1.5,1.0,9,2.6850144757833583,0.0460724075714481,0.9327180637968843,0.10422585180496437,0.2534104852369914,0.7095657821823063,0.6930965220704086,0.5313090438090153
ST-v1_seed2,B,1.5,1.0,0,2.996092484944505,0.06282971752904748,1.3142189425163882,0.1199058899900034,0.3684743190024762,0.718594258511065,0.6978823030414418,0.5313090438090153
ST-v1_seed2,B,1.5,1.0,1,3.001811353260272,0.0628297175290475,1.3142189425163882,0.1199058899900034,0.36521966815029927,0.7233984120226324,0.7036446086476529,0.5313090438090153
ST-v1_seed2,B,1.5,1.0,2,3.005761064352913,0.06283082543588692,1.2684482283503973,0.1517434302449134,0.35244303771796437,0.7196442774516318,0.7020825282063591,0.5313090438090153
ST-v1_seed2,B,1.5,1.0,3,2.9723938636478766,0.06633650581493324,1.1495902902039012,0.10389654182218548,0.3002177669148398,0.728297711148274,0.7099515956238737,0.5313090438090153
ST-v1_seed2,B,1.5,1.0,4,3.0239837978626896,0.05972474964514014,1.3142189425163882,0.1199058899900034,0.36844811087252305,0.7181031984116992,0.6999774125470258,0.5313090438090153
