model,seed,customer_set,avg_risk_at_b,common_aubrc,cvar90_aubrc,cvar95_aubrc,load_cvar90_aubrc,max_vehicle_cvar90_aubrc
Stable-Tail-MatrixEnsRaw-r030,1,B,4.498805414786554,1.3155297602933005,0.031433072718721075,0.06324827812099779,0.018401503887679797,0.05586583420903629
Stable-Tail-MatrixEnsRaw-r030,2,A,3.475746872859898,1.0134933016034184,0.024862617162500943,0.04090452527420066,0.01565215006843468,0.046765274497870435
Stable-Tail-MatrixEnsRaw-r030,2,B,4.999141169189301,1.4870034496263296,0.03693125365127043,0.07220584268216342,0.022267064638126912,0.06651080976772251
Stable-Tail-MatrixEnsRaw-r030,3,A,3.490078232611977,1.0323136090749065,0.02547035197380731,0.04026199346354367,0.015484943042294308,0.043132961296146966
Stable-Tail-MatrixEnsRaw-r030,3,B,5.007134564518044,1.4832993563048285,0.03681852309409578,0.07343124329142459,0.021370443941361013,0.0631266937619558
Stable-Tail-MatrixEnsRaw-r030,4,A,3.559329247098516,1.0393587590011986,0.02506845848172373,0.04298402099858123,0.01576264557318429,0.04203594783398381
Stable-Tail-MatrixEnsRaw-r030,4,B,4.801363350499315,1.4096568466719268,0.03489649028853389,0.06737963286085526,0.019966524264937953,0.06160425994293241
Stable-Tail-MatrixEnsRaw-r030,5,A,3.380730990895178,0.9748441308860291,0.022758828406767025,0.03951503950489828,0.014575086162196469,0.04051751811165569
Stable-Tail-MatrixEnsRaw-r030,5,B,4.5328357307080065,1.32372939774423,0.03128051746647081,0.06337619499842054,0.01936596909884594,0.05787740460584283
Stable-Tail-MatrixEnsRaw-r030,6,A,3.3655860910005773,0.9835898945380279,0.023449801107400765,0.038719318982734216,0.014454214007650066,0.0454241578346732
Stable-Tail-MatrixEnsRaw-r030,6,B,4.91779805551559,1.4530980520966803,0.03634557722771986,0.07059610494231289,0.02045005327227553,0.06747011894412829
Stable-Tail-MatrixEnsRaw-r030,7,A,3.2657721941494864,0.9562189606574287,0.02235868451283482,0.03728444416380609,0.013843107574734365,0.04312689355546361
Stable-Tail-MatrixEnsRaw-r030,7,B,4.627292723004696,1.3589935951306034,0.032913245371868835,0.06441593356952902,0.019704929077848463,0.058268259142312984
Stable-Tail-MatrixEnsRaw-r030,8,A,3.47263619455005,1.0044307005435051,0.024439046498021276,0.04012716153019282,0.014883955443820089,0.04052868937495073
Stable-Tail-MatrixEnsRaw-r030,8,B,4.4167573143731,1.288313877770223,0.03060298024157385,0.05770286100079496,0.017722421889916726,0.05065470946720517
Stable-Tail-MatrixEnsRaw-r030,9,A,3.3228733437688156,0.9677019670649025,0.023363688922853173,0.03844990545129594,0.014104444407937762,0.043358338775037746
Stable-Tail-MatrixEnsRaw-r030,9,B,4.44079137834828,1.2946754398868312,0.03029550518369055,0.05894507770859625,0.018140992318469915,0.052006775351460505
Stable-Tail-MatrixEnsRaw-r040,0,A,3.2991346422856416,0.9592504576369933,0.022729614098337635,0.037972491677659384,0.013810677717533013,0.04190538321908534
Stable-Tail-MatrixEnsRaw-r040,0,B,4.595858946888871,1.3428073572002226,0.032018123420790266,0.06292271048768473,0.018214842175928482,0.05634942283531582
Stable-Tail-MatrixEnsRaw-r040,1,A,3.19435563098172,0.9478798647087221,0.021930024440635985,0.03394332778333158,0.013790981762994522,0.03966457986020749
Stable-Tail-MatrixEnsRaw-r040,1,B,4.429399499625364,1.2942526966505579,0.030892770252252226,0.05883691469625959,0.01850159613147093,0.05590340652552728
Stable-Tail-MatrixEnsRaw-r040,2,A,3.5131934306578985,1.0164385256149862,0.025070993758203482,0.04147847593244022,0.015354825920172833,0.04580185661764034
Stable-Tail-MatrixEnsRaw-r040,2,B,4.901532229595168,1.4525674820343322,0.03599752288228644,0.07073384815979768,0.020173613011827324,0.06614842900750889
Stable-Tail-MatrixEnsRaw-r040,3,A,3.446415431894556,1.019795959923417,0.025021454419503323,0.04051045346055977,0.015015581852744063,0.045932471998824796
Stable-Tail-MatrixEnsRaw-r040,3,B,4.951249590988992,1.4645245314230873,0.036611126966172386,0.07079357536040268,0.021678462090688015,0.06306764782613919
Stable-Tail-MatrixEnsRaw-r040,4,A,3.431110039959667,0.9926994614825155,0.024077199657750254,0.03977916360018549,0.014592337356387118,0.04475283201641583
Stable-Tail-MatrixEnsRaw-r040,4,B,4.796409175435608,1.4055238363981828,0.03462280446465815,0.06809763987941587,0.02020760366358023,0.05948309024882913
Stable-Tail-MatrixEnsRaw-r040,5,A,3.381191665255357,0.9757806841770998,0.02265396717501213,0.03898823135646187,0.014597098309344395,0.042239322909853744
