group,src,dst,method,path,hop,mean_risk,max_risk,cvar80,cvar90,cvar95,re,hhi,gini,total_risk,hop_increase_pct,risk_reduction_pct,cvar90_reduction_pct
normal_high,93,1638,CVaR-risk,93 94 3788 34 33 3497 106 3802 2995 2996 2084 4128 3477 5018 3777 1638,15,0.005618289858102798,0.008566392585635185,0.008550032507628202,0.008566392585635185,0.008566392585635185,0.001004694402217865,0.07383007083018168,0.1697705865010113,0.08427434787154198,0.0,0.0,0.0
normal_high,93,1638,CVaR+Concentration,93 94 3788 34 33 3497 106 3802 2995 2996 2084 4257 977 3508 3837 3740 3777 1638,17,0.004995158791322918,0.008566392585635185,0.006985025713220239,0.008566392585635185,0.008566392585635185,0.00046953421962611815,0.06341735145165055,0.12666711625726546,0.08491769945248961,0.13333333333332445,-0.007634014349427585,0.0
normal_high,2400,1422,Hop-shortest,2400 3381 3816 4057 542 4058 4381 1422,7,0.11218648383926068,0.4989504814147949,0.3810102641582489,0.4989504814147949,0.4989504814147949,0.1074659028755767,0.5160762354017997,0.7284472738027798,0.7853053868748248,0.0,0.0,0.0
normal_high,2400,1422,Mean-risk-raw,2400 3381 3816 3865 3561 1896 1897 4381 1422,8,0.004811566148418933,0.00520930765196681,0.00520930765196681,0.00520930765196681,0.00520930765196681,5.4950593039393425e-05,0.12588955796221682,0.04330097010507017,0.038492529187351465,0.14285714285712245,0.9509839995603672,0.9895594696327676
normal_high,2400,1422,Mean-risk-floor,2400 3381 3816 3865 3561 1896 1897 4381 1422,8,0.004811566148418933,0.00520930765196681,0.00520930765196681,0.00520930765196681,0.00520930765196681,5.4950593039393425e-05,0.12588955796221682,0.04330097010507017,0.038492529187351465,0.14285714285712245,0.9509839995603672,0.9895594696327676
normal_high,2400,1422,CVaR-risk,2400 3381 3816 3865 3561 1553 1552 4381 1422,8,0.004916327714454383,0.00520930765196681,0.00520930765196681,0.00520930765196681,0.00520930765196681,5.4950593039393425e-05,0.12527077134018544,0.02550457030508224,0.03933062171563506,0.14285714285712245,0.9499167809441575,0.9895594696327676
normal_high,2400,1422,CVaR+Concentration,2400 3381 3816 3865 3561 1553 1552 4381 1422,8,0.004916327714454383,0.00520930765196681,0.00520930765196681,0.00520930765196681,0.00520930765196681,5.4950593039393425e-05,0.12527077134018544,0.02550457030508224,0.03933062171563506,0.14285714285712245,0.9499167809441575,0.9895594696327676
normal_high,4537,1753,Hop-shortest,4537 4169 3477 1195 4991 3701 1753,6,0.0066352350016434984,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0018108268268406391,0.17707661442362035,0.13572411582619304,0.03981141000986099,0.0,0.0,0.0
normal_high,4537,1753,Mean-risk-raw,4537 4169 3477 1195 4991 3701 1753,6,0.0066352350016434984,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0018108268268406391,0.17707661442362035,0.13572411582619304,0.03981141000986099,0.0,0.0,0.0
normal_high,4537,1753,Mean-risk-floor,4537 4169 3477 1195 4991 3701 1753,6,0.0066352350016434984,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0018108268268406391,0.17707661442362035,0.13572411582619304,0.03981141000986099,0.0,0.0,0.0
normal_high,4537,1753,CVaR-risk,4537 4169 3477 1195 4991 3701 1753,6,0.0066352350016434984,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.0018108268268406391,0.17707661442362035,0.13572411582619304,0.03981141000986099,0.0,0.0,0.0
normal_high,4537,1753,CVaR+Concentration,4537 4169 3477 5018 3989 4701 3815 3699 3701 1753,9,0.00568978915301462,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.00853367242962122,0.001207217884560426,0.1234280797034279,0.1781026928592533,0.05120810237713158,0.4999999999999167,-0.2862669863780621,0.0
normal_high,1134,4589,Hop-shortest,1134 4302 3255 1189 1188 4991 3701 4144 4135 3466 3892 5084 4589,12,0.08293029491323978,0.687781810760498,0.3168097312251727,0.4311491698026657,0.687781810760498,0.07811960791392873,0.5164774827149473,0.8075655588333956,0.9951635389588773,0.0,0.0,0.0
