set,budget,method,model_seed,solver_seed,cost_inc,common_risk,cvar90,load_risk,top10share,j_score,risk_source
B,25,J-reranking,4,6,20.05158487748592,3.7458989610969176,0.08961199570021561,1.5421398520260925,0.7740510648900587,1.0480990384897357,B_Stable-Tail-GNN_seed4
B,25,J-reranking,4,7,23.868843069874,3.419982525856412,0.07863717226994155,1.8485194447755526,0.7419555083689852,1.003560550678104,B_GCN_seed4
B,25,J-reranking,4,8,20.127604696938846,4.266160410055792,0.09713434288301684,1.6531280801018258,0.7926967716472881,1.3758039880410649,B_Stable-Tail-GNN_seed4
B,25,J-reranking,4,9,23.639203008239782,3.6124222104365,0.08805864656104136,1.4138467708479976,0.7674275237851442,1.0513942236994747,B_GCN_seed4
B,25,J-reranking,5,0,21.311789806779498,3.8549549795506337,0.09002962021913537,2.0187883776726565,0.7706069823107521,1.3453733962726049,B_TEG-low_seed5
B,25,J-reranking,5,1,20.692607483612903,4.119936299076777,0.09275740300744856,1.580955814516848,0.783647720344438,1.1719574868715048,B_TEG-low_seed5
B,25,J-reranking,5,2,21.266295750831834,3.734955866688243,0.08690104346439638,1.7863332585929603,0.7689116420636922,1.5760468717272729,B_GCN_seed5
B,25,J-reranking,5,3,24.35089728904162,3.859698082492198,0.08801854633334943,1.82502591831115,0.7713818753501821,1.1973954314537227,B_Stable-Tail-GNN_seed5
B,25,J-reranking,5,4,20.633950994366387,3.746019437487658,0.0896119957002156,2.056985685248223,0.7710973161691796,1.2999176834260475,B_GCN_seed5
B,25,J-reranking,5,5,20.75544695581348,3.858284891352374,0.08801854633334945,1.4973889502110955,0.7716644128149786,1.0193550042769943,B_GCN_seed5
B,25,J-reranking,5,6,23.788773501662934,3.859698082492198,0.08801854633334943,1.7960859930194584,0.7713818753501821,1.1780520239031573,B_Stable-Tail-GNN_seed5
B,25,J-reranking,5,7,21.59834724267714,3.4234108731243635,0.07863717226994155,1.7300153685232837,0.7443584573172592,0.9673841213761358,B_GCN_seed5
B,25,J-reranking,5,8,20.953641485101475,3.274318509461028,0.07422759071547032,1.6796095597029757,0.7364054019515035,0.7241950957271357,B_GCN_seed5
B,25,J-reranking,5,9,21.818642593442423,3.734955866688243,0.08690104346439638,1.6094232588418877,0.7689116420636922,1.0632038003026953,B_GCN_seed5
B,25,J-reranking,6,0,23.85632778306701,3.91841338458685,0.08943928940869546,1.649849743817417,0.7770871051622009,1.2163685347239273,B_Stable-Tail-GNN_seed6
B,25,J-reranking,6,1,23.820026164562773,3.858284891352375,0.08801854633334943,1.5501019027207117,0.7716644128149786,1.1575090908327734,B_GCN_seed6
B,25,J-reranking,6,2,23.229967817596684,3.902420295370266,0.08866765434072552,1.6235920477527808,0.7750673109160489,1.4838244049678073,B_TEG-low_seed6
B,25,J-reranking,6,3,22.74927725958654,3.8096815785909337,0.08423618255176836,1.825154419009906,0.773630265465061,1.1354604128925763,B_Stable-Tail-GNN_seed6
B,25,J-reranking,6,4,22.701418584130863,3.858284891352374,0.08801854633334945,1.6199819316169908,0.7716644128149786,1.3131232374260493,B_GCN_seed6
B,25,J-reranking,6,5,23.0346840426254,3.8698582767444902,0.08836513712979281,1.546104624682393,0.7761093635217954,1.1724808231639248,B_GCN_seed6
B,25,J-reranking,6,6,22.701418584130863,3.8596980824921983,0.08801854633334943,2.376659259178142,0.771381875350182,1.3061074318623587,B_GCN_seed6
B,25,J-reranking,6,7,23.25928653248241,3.7104887908588102,0.08578923416030328,1.7152410955971862,0.7630273520173865,1.1754439740361207,B_Stable-Tail-GNN_seed6
B,25,J-reranking,6,8,22.035566415529765,3.8575300414574043,0.08801854633334943,2.1767701960141927,0.7776400188422071,1.2641274238846818,B_TEG-low_seed6
B,25,J-reranking,6,9,23.698792457482583,3.692107367089471,0.08512506006726103,1.9552988906583177,0.7652741064078622,1.159966916085154,B_Stable-Tail-GNN_seed6
B,25,J-reranking,7,0,21.760423016596004,3.6137286572308276,0.08805864656104138,1.6093142294020686,0.7642315179397873,1.054206202806323,B_TEG-low_seed7
B,25,J-reranking,7,1,21.532339262597688,4.075030510522268,0.09666792314292963,1.8491609041250987,0.7867282603226613,1.2804510441547756,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,2,21.041291659848362,3.6159231676050676,0.08778862955316669,1.6516933537611402,0.7573611758338255,1.2059559774876092,B_TEG-low_seed7
B,25,J-reranking,7,3,20.78696885397916,3.877258073164968,0.09588943516874886,1.7450021877940431,0.7742567545574133,1.2049115933912005,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,4,19.964026335437453,3.61842912614633,0.08239057950354992,1.2842893677802447,0.755416970545664,0.9136082009134193,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,5,20.240955677730266,3.877258073164968,0.09588943516874884,1.586687662365566,0.7742567545574133,1.2445688614305095,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,6,20.22059322609109,3.3898221191502196,0.08306818049022408,1.5150334172864435,0.74329014931773,0.8412769608179842,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,7,20.766513936617027,3.402023701305792,0.07840618784410967,1.2861305562469103,0.7406242902236727,0.6865246228115779,B_Stable-Tail-GNN_seed7
B,25,J-reranking,7,8,20.49412882644404,3.4000175249641744,0.07840618784410969,1.970218899602467,0.7410612947150212,1.0829912740390957,B_TEG-low_seed7
B,25,J-reranking,7,9,21.592613648038686,3.4000175249641744,0.07840618784410969,1.5533646092643274,0.7410612947150211,0.8472597106043309,B_TEG-low_seed7
B,25,J-reranking,8,0,24.450167466900457,3.752690785833578,0.08995507452238583,1.918504022542446,0.773855832262526,1.4490188360115153,B_GCN_seed8
B,25,J-reranking,8,1,24.141261241515352,4.085309838966738,0.09456590570668096,1.9129520765131751,0.7832726255742007,1.4378149200018295,B_GCN_seed8
B,25,J-reranking,8,2,23.37383406971036,4.268468228931749,0.09713434288301684,1.872864700249595,0.7922681868542429,1.9951952805563693,B_GCN_seed8
B,25,J-reranking,8,3,21.36652484590629,3.6628381577512883,0.08977326343708636,1.5504539614013955,0.7731266987532922,1.0254611479249298,B_TEG-low_seed8
B,25,J-reranking,8,4,24.766171180343445,3.8142528470680763,0.08862993019583182,1.9797997585387173,0.7656719387915839,1.4566701907816761,B_Stable-Tail-GNN_seed8
B,25,J-reranking,8,5,24.707120070589834,4.009666476491789,0.09742905658976408,1.8274198439339089,0.7806767877602919,1.4490927841330867,B_Stable-Tail-GNN_seed8
B,25,J-reranking,8,6,23.191474920247064,3.274318509461028,0.07422759071547032,2.1394565316410468,0.7364054019515036,1.0505942611236003,B_GCN_seed8
B,25,J-reranking,8,7,19.841269841269842,4.112453715312638,0.09754809702577029,2.096830823096346,0.7818489088137075,1.4832700959506575,B_Stable-Tail-GNN_seed8
B,25,J-reranking,8,8,23.272924726803772,3.6799234134745262,0.09001169897342892,1.6137694968743246,0.7657761351027976,1.1448313714509821,B_GCN_seed8
B,25,J-reranking,8,9,20.16452167480599,3.817684297441601,0.09150401522471603,1.8021421806601308,0.7658588126691797,1.137825036583395,B_Stable-Tail-GNN_seed8
B,25,J-reranking,9,0,20.88644442770156,3.746583573460197,0.08423666012524655,1.7614600056924166,0.7632789989214285,1.2490741867985178,B_TEG-low_seed9
B,25,J-reranking,9,1,21.692614332974884,3.4658587393641795,0.078522779196519,1.7381139870919549,0.7550321917470411,0.998403720002049,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,2,24.85477008672885,3.46585873936418,0.07852277919651901,1.7629942768738804,0.7550321917470412,1.1271230591216859,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,3,17.480772377679592,3.62812474976064,0.08298182158948349,1.4761519354609844,0.7548141287376677,0.7602647859937443,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,4,20.593226091088034,3.4658587393641795,0.07852277919651901,1.7908994188334955,0.7550321917470412,0.9656055257568352,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,5,20.900020362451638,3.4020237013057923,0.07840618784410969,1.4097583278912853,0.7406242902236725,0.871386149294237,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,6,24.641960225344466,3.278400783073815,0.07672979656850042,1.4382610642493512,0.7345248706841907,0.8127839823322864,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,7,22.44177166857579,3.290838613479374,0.0767297965685004,1.3420612040448034,0.7388583709148594,0.7298304461464539,B_GCN_seed9
B,25,J-reranking,9,8,20.971967691576733,3.278993768275609,0.0767297965685004,1.5992951441909904,0.7343920365254683,0.6631260014771992,B_Stable-Tail-GNN_seed9
B,25,J-reranking,9,9,18.452181179323148,3.2894254223395505,0.0767297965685004,1.5839105936904423,0.7359947946697005,0.73965516687576,B_Stable-Tail-GNN_seed9
B,30,J-reranking,0,0,20.926855663394957,3.2894254223395505,0.07672979656850042,1.6482455781291923,0.7359947946697005,0.9654977308363529,B_Stable-Tail-GNN_seed0
B,30,J-reranking,0,1,22.387139637942727,3.274911494662822,0.07422759071547032,1.4890468381674111,0.7362720617050298,0.948595216073724,B_TEG-low_seed0
B,30,J-reranking,0,2,25.40500736377025,3.2757370465650375,0.07422759071547033,1.326138875441131,0.7360865062735503,1.0526925154281623,B_Stable-Tail-GNN_seed0
B,30,J-reranking,0,3,27.916189385261553,2.9895930182890056,0.06283082543588692,1.6897810606853811,0.705586835427893,0.8189988787103657,B_TEG-low_seed0
B,30,J-reranking,0,4,27.018937080024436,3.2099243534863615,0.07008363679416332,1.3897462370799498,0.7238125066019511,1.0469515629926223,B_TEG-low_seed0
B,30,J-reranking,0,5,21.21020837575511,3.28942542233955,0.07672979656850039,1.5830435888371568,0.7359947946697005,0.8380953058501928,B_TEG-low_seed0
B,30,J-reranking,0,6,27.018937080024436,3.2070235494086115,0.07008363679416332,1.474301899537838,0.7244672065872582,0.9091088849812292,B_TEG-low_seed0
B,30,J-reranking,0,7,28.526427753231875,3.25821604402319,0.07861113015664709,1.6427132408201262,0.7380458712957121,1.1937148648707798,B_GCN_seed0
B,30,J-reranking,0,8,19.834385393334692,3.2894254223395505,0.07672979656850042,1.5018171361516317,0.7359947946697004,0.8469104333485329,B_Stable-Tail-GNN_seed0
B,30,J-reranking,0,9,28.176905321269324,3.211930529827979,0.07008363679416331,1.4556671285487346,0.723360412288881,0.8644881448449175,B_TEG-low_seed0
