model,model_seed,customer_set,beta,lambda_concentration,cost_increase_pct,common_global_risk,common_global_cvar90,common_max_vehicle_risk,common_edge_burden_gini_used,common_top10_burden_share,common_risk_reduction_pct
Stable-Tail-combo-eta0.7-b2-l1,0,B,2.0,1.0,0.3920123925900595,2.963636042982828,0.06150371643200989,1.1346902875565374,0.7237060886296584,0.704122732392879,0.6458125954054283
Stable-Tail-combo-eta0.7-b2-l1,1,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,1,B,2.0,1.0,0.3864775585783227,3.385222255379984,0.07201706713598166,1.0657051411781084,0.7491992047310365,0.7380105706570729,0.5969060709598599
Stable-Tail-combo-eta0.7-b2-l1,2,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,2,B,2.0,1.0,0.5043191311441558,3.037347681911945,0.06155405301353021,1.285467691324771,0.7216672634951332,0.7033037744067547,0.6383290907954109
Stable-Tail-combo-eta0.7-b2-l1,3,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,3,B,2.0,1.0,0.3603221952567591,2.9940576080367753,0.06116050950359113,1.0798576213904219,0.7261518632284235,0.707877626457611,0.643483838298043
Stable-Tail-combo-eta0.7-b2-l1,4,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,4,B,2.0,1.0,0.4394404995812062,3.014007826974187,0.06326121865743226,1.0529080633992733,0.7302865124665504,0.712335106496599,0.6411082742936681
Stable-Tail-combo-eta0.7-b2-l1,5,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,5,B,2.0,1.0,0.37954854771558005,3.3550496601956574,0.07288036779558607,1.1965543585418232,0.7518178847085868,0.7411559024465473,0.6004988601549727
Stable-Tail-combo-eta0.7-b2-l1,6,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,6,B,2.0,1.0,0.5143872217780986,3.2597801666606117,0.07051764285175155,1.1529712049959744,0.7457930004659901,0.7332916607782638,0.6118430353876809
Stable-Tail-combo-eta0.7-b2-l1,7,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,7,B,2.0,1.0,0.44958696498147305,3.049260829636512,0.06552533480415777,1.126168950641897,0.7282198059181593,0.7115291947023822,0.6369105376957147
Stable-Tail-combo-eta0.7-b2-l1,8,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,8,B,2.0,1.0,0.40195418960832385,3.041256523248321,0.06574593808033016,0.892450089451232,0.7284109374856165,0.7110947996394901,0.6378636471425547
Stable-Tail-combo-eta0.7-b2-l1,9,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l1,9,B,2.0,1.0,0.3326879341706485,3.3233906864425835,0.07629131927522996,1.157178660698599,0.7522897956280356,0.7426036846378994,0.6042686392586106
Stable-Tail-combo-eta0.7-b2-l2,0,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,0,B,2.0,2.0,0.4551822417772945,2.9529358581411396,0.05985067811208418,1.1462055455653655,0.7226735240191332,0.7037064076022125,0.6483803935266073
Stable-Tail-combo-eta0.7-b2-l2,1,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,1,B,2.0,2.0,0.44744971917980475,3.046829374729133,0.06405997742662346,0.9796809436052089,0.7282561006982474,0.7108948516008092,0.6372000621753382
Stable-Tail-combo-eta0.7-b2-l2,2,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,2,B,2.0,2.0,0.5874829364503319,2.9993573510310974,0.06200977214805461,1.2977560772851398,0.7215818508208499,0.7022427357547436,0.6428527736100189
Stable-Tail-combo-eta0.7-b2-l2,3,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,3,B,2.0,2.0,0.4132094875721474,2.9244127967075757,0.05846171566722201,1.1533155009482563,0.7225890962591782,0.7029034774862996,0.6517767651779022
Stable-Tail-combo-eta0.7-b2-l2,4,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,4,B,2.0,2.0,0.5144833160568089,2.982427507988612,0.05967053633672936,1.079005452043773,0.7293876794844405,0.7103080758161322,0.6448686876136507
Stable-Tail-combo-eta0.7-b2-l2,5,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,5,B,2.0,2.0,0.44917532707834545,3.1390306013118523,0.06879354792303348,1.178781061644135,0.7393341103057066,0.7228737355300486,0.6262212395510713
Stable-Tail-combo-eta0.7-b2-l2,6,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,6,B,2.0,2.0,0.6155070268089408,3.0742882198189756,0.06785214920217655,1.1870390112215687,0.7322183199004473,0.7147113613757601,0.6339304116415881
Stable-Tail-combo-eta0.7-b2-l2,7,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,7,B,2.0,2.0,0.5241077373613876,3.0359684685452293,0.0663142453969854,1.1781704895133132,0.7264668795929445,0.7094427256955267,0.6384933200521724
Stable-Tail-combo-eta0.7-b2-l2,8,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,8,B,2.0,2.0,0.4674502780259645,2.9750980586389377,0.06415943305663055,1.1534723388737431,0.7229658412567693,0.70475326109201,0.6457414387399215
Stable-Tail-combo-eta0.7-b2-l2,9,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b2-l2,9,B,2.0,2.0,0.3857817269573076,3.13762238928438,0.07085788985132832,1.162022114644642,0.7374167653768627,0.7237900171274191,0.6263889218112754
Stable-Tail-combo-eta0.7-b3-l1,0,B,0.0,0.0,0.0,8.39809784146732,0.25918567434636797,2.7736311395548943,0.8477540592052198,0.8813086851131514,0.0
Stable-Tail-combo-eta0.7-b3-l1,0,B,3.0,1.0,0.4807283264806528,2.9821329319955785,0.06089348497931089,1.0725692043133477,0.7249246941025576,0.7055130993909117,0.6449037641272367
